Attrition_Flag,Gender,Education_Level,Income_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
True,0,1,2,5,1,3,12691.0,777,1.335,1144,1.625,0.061,0,1,0,0,1,0,0,0
True,1,3,0,6,1,2,8256.0,864,1.541,1291,3.714,0.105,0,0,1,0,1,0,0,0
True,0,3,3,4,1,0,3418.0,0,2.594,1887,2.333,0.0,0,1,0,0,1,0,0,0
True,1,1,0,3,4,1,3313.0,2517,1.405,1171,2.333,0.76,0,0,0,1,1,0,0,0
True,0,0,2,5,1,0,4716.0,0,2.175,816,2.5,0.0,0,1,0,0,1,0,0,0
True,0,3,1,3,1,2,4010.0,1247,1.376,1088,0.846,0.311,0,1,0,0,1,0,0,0
True,0,99,4,6,1,3,34516.0,2264,1.975,1330,0.722,0.066,0,1,0,0,0,1,0,0
True,0,1,2,2,2,2,29081.0,1396,2.204,1538,0.714,0.048,0,0,0,1,0,0,0,1
True,0,0,2,5,2,0,22352.0,2517,3.355,1350,1.182,0.113,0,0,1,0,1,0,0,0
True,0,3,3,6,3,3,11656.0,1677,1.524,1441,0.882,0.144,0,0,1,0,1,0,0,0
True,0,0,4,5,3,2,6748.0,1467,0.831,1201,0.68,0.217,0,0,0,1,1,0,0,0
True,0,99,1,6,2,3,9095.0,1587,1.433,1314,1.364,0.174,0,1,0,0,1,0,0,0
True,0,2,3,3,6,0,11751.0,0,3.397,1539,3.25,0.0,0,0,1,0,1,0,0,0
True,0,3,2,5,1,3,8547.0,1666,1.163,1311,2.0,0.195,0,0,0,1,1,0,0,0
True,1,3,0,5,2,2,2436.0,680,1.19,1570,0.611,0.279,0,1,0,0,1,0,0,0
True,0,99,3,5,1,2,4234.0,972,1.707,1348,1.7,0.23,0,0,0,1,1,0,0,0
True,0,4,3,6,2,3,30367.0,2362,1.708,1671,0.929,0.078,0,0,1,0,1,0,0,0
True,0,99,3,4,4,1,13535.0,1291,0.653,1028,1.625,0.095,0,1,0,0,1,0,0,0
True,0,1,1,2,2,3,3193.0,2517,1.831,1336,1.143,0.788,0,1,0,0,1,0,0,0
True,1,3,99,6,1,2,14470.0,1157,0.966,1207,0.909,0.08,0,1,0,0,1,0,0,0
True,0,5,2,5,2,0,20979.0,1800,0.906,1178,0.929,0.086,1,0,0,0,1,0,0,0
False,1,3,0,2,3,3,1438.3,0,1.047,692,0.6,0.0,0,1,0,0,1,0,0,0
True,0,1,1,4,2,1,4470.0,680,1.608,931,1.571,0.152,0,1,0,0,1,0,0,0
True,1,99,0,3,3,2,2492.0,1560,0.573,1126,0.353,0.626,0,0,1,0,1,0,0,0
True,0,99,3,4,2,3,12217.0,0,1.075,1110,0.75,0.0,0,1,0,0,1,0,0,0
True,1,3,0,6,1,2,7768.0,1669,0.797,1051,0.833,0.215,0,0,1,0,1,0,0,0
True,0,1,1,4,1,2,14784.0,1374,0.921,1197,1.3,0.093,0,0,0,1,1,0,0,0
True,0,99,2,3,3,2,10215.0,1010,0.843,1904,1.0,0.099,0,1,0,0,1,0,0,0
True,1,0,99,5,2,2,10100.0,0,0.525,1052,1.571,0.0,0,0,1,0,1,0,0,0
True,0,1,1,6,0,0,4785.0,1362,0.739,1045,0.9,0.285,0,1,0,0,1,0,0,0
True,0,99,3,3,2,3,2753.0,1811,0.977,1038,2.571,0.658,0,1,0,0,1,0,0,0
True,0,0,2,2,5,1,2451.0,1690,1.323,1596,1.6,0.69,0,1,0,0,1,0,0,0
True,0,3,2,4,1,2,8923.0,2517,1.726,1589,1.667,0.282,0,1,0,0,1,0,0,0
True,1,2,0,5,2,3,2650.0,1490,1.75,1411,1.0,0.562,0,1,0,0,1,0,0,0
True,0,3,3,6,2,2,12555.0,1696,0.519,1291,0.714,0.135,0,1,0,0,1,0,0,0
True,1,2,0,4,2,1,3520.0,1914,0.51,1407,0.483,0.544,0,0,1,0,1,0,0,0
True,1,3,0,6,2,3,3035.0,2298,1.724,1877,1.176,0.757,0,1,0,0,1,0,0,0
True,1,1,0,2,3,3,15433.0,0,0.865,966,1.2,0.0,0,1,0,0,0,1,0,0
True,1,3,1,3,3,2,3672.0,886,1.32,1464,0.556,0.241,0,0,0,1,1,0,0,0
False,1,5,99,5,4,3,7882.0,605,1.052,704,0.143,0.077,0,1,0,0,1,0,0,0
True,0,3,3,2,2,2,32426.0,578,1.042,1109,0.474,0.018,0,0,1,0,1,0,0,0
True,0,99,1,4,1,0,6205.0,2204,0.803,1347,0.556,0.355,0,1,0,0,1,0,0,0
True,1,2,1,3,2,3,17304.0,2517,1.449,1756,1.2,0.145,0,0,1,0,0,0,0,1
True,0,1,2,5,2,1,3906.0,0,1.214,1756,1.0,0.0,0,1,0,0,1,0,0,0
True,1,3,99,2,3,3,9830.0,2055,0.977,1042,0.917,0.209,0,0,1,0,1,0,0,0
True,0,0,3,3,2,3,34516.0,0,1.621,1444,1.333,0.0,0,0,1,0,1,0,0,0
True,0,5,2,6,2,0,2283.0,1430,2.316,1741,0.588,0.626,0,1,0,0,1,0,0,0
True,0,5,1,3,2,2,2548.0,2020,2.357,1719,1.7,0.793,0,1,0,0,1,0,0,0
True,0,1,3,4,3,3,19458.0,1435,0.787,1217,0.8,0.074,0,1,0,0,1,0,0,0
True,0,2,3,5,1,1,4745.0,1227,0.624,1140,0.6,0.259,0,0,1,0,1,0,0,0
True,1,99,0,6,3,2,2622.0,1549,1.321,1878,1.143,0.591,0,1,0,0,1,0,0,0
False,1,3,0,2,3,1,1438.3,808,0.997,705,0.9,0.562,0,1,0,0,1,0,0,0
True,1,1,0,3,4,2,3171.0,2179,1.224,1946,1.923,0.687,0,1,0,0,1,0,0,0
True,0,99,4,4,2,0,19763.0,2517,0.664,1414,0.25,0.127,0,1,0,0,1,0,0,0
False,0,3,4,1,3,3,15769.0,0,1.041,602,0.364,0.0,0,1,0,0,1,0,0,0
True,1,3,0,6,4,2,3298.0,2200,0.678,1052,0.6,0.667,0,0,0,1,1,0,0,0
True,1,3,0,2,2,0,2802.0,2363,0.75,1295,0.6,0.843,0,0,1,0,1,0,0,0
True,0,0,1,4,2,3,4458.0,1880,1.107,1424,1.417,0.422,0,1,0,0,1,0,0,0
True,1,3,99,4,1,2,6273.0,978,2.275,1359,1.083,0.156,0,1,0,0,1,0,0,0
True,0,1,2,4,4,3,3336.0,1753,0.69,1168,1.25,0.525,0,0,1,0,1,0,0,0
